;Timestamp;Analog_Output_1_U;Analog_Output_2_U;Analog_Output_1_V;Analog_Output_2_V;Analog_Output_1_W;Analog_Output_2_W;Voltage_Realtime_Output_U;Voltage_Realtime_Output_V;Voltage_Realtime_Output_W;Voltage_Realtime_Slave;Current_Realtime_OUT_U;Current_Realtime_OUT_V;Current_Realtime_OUT_W;Voltage_Output_UV_RMS;Voltage_Output_VW_RMS;Voltage_Output_WU_RMS;Voltage_Output_Intern_U;Voltage_Output_Intern_V;Voltage_Output_Intern_W;Voltage_Output_U_RMS;Voltage_Output_V_RMS;Voltage_Output_W_RMS;Current_Output_U_RMS;Current_Output_V_RMS;Current_Output_W_RMS;Current_Output_Global;Current_Output_Capacitor_U_RMS;Current_Output_Capacitor_V_RMS;Current_Output_Capacitor_W_RMS;Power_Active_Output_U;Power_Active_Output_V;Power_Active_Output_W;Power_Active_Output_Total;Power_Reactive_Output_U;Power_Reactive_Output_V;Power_Reactive_Output_W;Power_Reactive_Output_Total;Power_Apparent_Output_U;Power_Apparent_Output_V;Power_Apparent_Output_W;Power_Apparent_Output_Total;Frequency_Output_U;Frequency_Output_V;Frequency_Output_W;Phase_Angle_Output_U;Phase_Angle_Output_V;Phase_Angle_Output_W;UV_desf_angle;VW_desf_angle;Analog_Input_Realtime_1;Analog_Input_Realtime_2;Analog_Input_Realtime_3;Analog_Input_Realtime_4;Analog_Input_Realtime_5;Analog_Input_Realtime_6;Vbus_menys;Vbus_mes;Vbus_Total
709;08.06.2023 11:20:13.066469;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;289.3890075683594;-16.414705276489258;-273.5158996582031;0.0;0.0;0.0;0.0;398.3624572753906;398.36273193359375;398.3625793457031;230.34344482421875;230.00819396972656;229.9551544189453;229.9948272705078;229.99488830566406;229.99485778808594;0;1.4560191631317139;0;3.9249980449676514;7.4482421875;7.398342609405518;7.488365173339844;2.468395233154297;487.008544921875;2.810786724090576;492.2877197265625;188.28030395507812;194.51768493652344;189.34422302246094;572.1422119140625;188.05784606933594;525.5527954101562;189.11880493164062;902.7294921875;50.0;50.0;50.0;0.8337910175323486;0.5004576444625854;0.16712433099746704;-0.0;-0.0;-0.00040498562157154083;0.0005637910217046738;-0.00016700662672519684;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;425.4201965332031;424.3887023925781;849.8088989257812
710;08.06.2023 11:20:13.162596;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;256.22479248046875;44.810550689697266;-301.8718566894531;0.0;0.0;0.0;0.0;398.3624572753906;398.36273193359375;398.3625793457031;230.34344482421875;230.00819396972656;229.9551544189453;229.9948272705078;229.99488830566406;229.99485778808594;0;1.4560191631317139;0;3.9249980449676514;7.4482421875;7.398342609405518;7.488365173339844;2.468395233154297;487.008544921875;2.810786724090576;492.2877197265625;188.28054809570312;194.2797088623047;189.34420776367188;571.9058837890625;188.05784606933594;525.5527954101562;189.11880493164062;902.7294921875;50.0;50.0;50.0;0.17211830615997314;-0.16121503710746765;-0.49454838037490845;-0.0;-0.0;-0.0005847709253430367;0.0005348669365048409;-0.00040828436613082886;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;425.492431640625;423.9712829589844;849.7045288085938
711;08.06.2023 11:20:13.265914;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;-175.2960662841797;324.408447265625;51.46638107299805;0.0;0.0;0.0;0.0;398.3622131347656;398.3627014160156;398.36273193359375;230.34405517578125;230.0077362060547;229.9555206298828;229.99513244628906;229.9947509765625;229.99485778808594;0;1.4559919834136963;0;3.9249279499053955;7.448057174682617;7.398324012756348;7.4881157875061035;2.4767420291900635;487.00823974609375;2.794268846511841;492.2792663574219;188.27450561523438;194.43919372558594;189.3419952392578;572.0542602539062;188.05038452148438;525.5462646484375;189.1165771484375;902.7132568359375;50.0;50.0;50.0;0.6021140813827515;0.26878073811531067;-0.06455260515213013;-0.0;-0.0;-0.0006531486287713051;9.512528777122498e-06;-0.00035695265978574753;-2.2656284272670746e-05;9.765848517417908e-06;-0.0009757811203598976;425.86968994140625;424.3044128417969;850.174072265625
712;08.06.2023 11:20:13.364461;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;319.5285339355469;-212.13253784179688;-108.1656723022461;0.0;0.0;0.0;0.0;398.3622131347656;398.3627014160156;398.36273193359375;230.34405517578125;230.0077362060547;229.9555206298828;229.99513244628906;229.9947509765625;229.99485778808594;0;1.4559919834136963;0;3.9249279499053955;7.448057174682617;7.398324012756348;7.4881157875061035;2.4767420291900635;487.00823974609375;2.794268846511841;492.2792663574219;188.27122497558594;194.60482788085938;189.3419952392578;572.218017578125;188.05038452148438;525.5462646484375;189.1165771484375;902.7132568359375;50.0;50.0;50.0;0.7304434776306152;0.39711013436317444;0.06377679109573364;-0.0;-0.0;-0.0005072103813290596;0.0003664083778858185;-0.0003878530114889145;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;425.84161376953125;424.396728515625;850.2383422851562
713;08.06.2023 11:20:13.467332;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;262.2240905761719;34.46221923828125;-297.91253662109375;0.0;0.0;0.0;0.0;398.3627014160156;398.36322021484375;398.3628845214844;230.34396362304688;230.00808715820312;229.9561004638672;229.99493408203125;229.99478149414062;229.99473571777344;0;1.4559786319732666;0;3.924978017807007;7.4482316970825195;7.3983588218688965;7.488364219665527;2.476609230041504;486.99615478515625;2.788429021835327;492.2611999511719;188.28155517578125;194.5265350341797;189.3463592529297;572.1558227539062;188.0603485107422;525.5432739257812;189.1209259033203;902.7245483398438;50.0;50.0;50.0;0.8604385852813721;0.5271052122116089;0.19377189874649048;-0.0;-0.0;-0.0006614057347178459;9.358301758766174e-05;-0.0002257833257317543;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;425.4603271484375;424.5934143066406;850.0537109375
714;08.06.2023 11:20:13.565212;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;319.7859802246094;-109.49254608154297;-211.05738830566406;0.0;0.0;0.0;0.0;398.3627014160156;398.36322021484375;398.3628845214844;230.34396362304688;230.00808715820312;229.9561004638672;229.99493408203125;229.99478149414062;229.99473571777344;0;1.4559786319732666;0;3.924978017807007;7.4482316970825195;7.3983588218688965;7.488364219665527;2.476609230041504;486.99615478515625;2.788429021835327;492.2611999511719;188.2818603515625;194.5116729736328;189.3463592529297;572.1412353515625;188.0603485107422;525.5432739257812;189.1209259033203;902.7245483398438;50.0;50.0;50.0;0.8871004581451416;0.5537670850753784;0.22043377161026;-0.0;-0.0;-0.00047433096915483475;0.0003698272630572319;-0.0004127398133277893;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;424.9947509765625;424.69775390625;849.6925048828125
715;08.06.2023 11:20:13.666582;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;170.56846618652344;154.38278198242188;-325.1647033691406;0.0;0.0;0.0;0.0;398.3625183105469;398.363037109375;398.3625793457031;230.3430938720703;230.00872802734375;229.9545440673828;229.99496459960938;229.9947052001953;229.99485778808594;0;1.4560465812683105;0;3.925051689147949;7.44820499420166;7.398190498352051;7.488239765167236;2.480001211166382;487.0014953613281;2.8196115493774414;492.3011169433594;188.2669677734375;194.51332092285156;189.3650360107422;572.1453247070312;188.0431671142578;525.5587158203125;189.13958740234375;902.741455078125;50.0;50.0;50.0;0.920428991317749;0.5870956182479858;0.25376230478286743;-0.0;-0.0;-0.0005122432485222816;0.00045875925570726395;-0.00033229030668735504;-2.2656284272670746e-05;-0.0002343747764825821;-0.0009757811203598976;425.2235412597656;424.7258605957031;849.6041870117188
716;08.06.2023 11:20:13.764846;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;324.25506591796875;-182.25244140625;-142.5815887451172;0.0;0.0;0.0;0.0;398.3625183105469;398.363037109375;398.3625793457031;230.3430938720703;230.00872802734375;229.9545440673828;229.99496459960938;229.9947052001953;229.99485778808594;0;1.4560465812683105;0;3.925051689147949;7.44820499420166;7.398190498352051;7.488239765167236;2.480001211166382;487.0014953613281;2.8196115493774414;492.3011169433594;188.26719665527344;194.50657653808594;189.3650360107422;572.1387939453125;188.0431671142578;525.5587158203125;189.13958740234375;902.741455078125;50.0;50.0;50.0;0.9454241991043091;0.6120908260345459;-0.6195758581161499;-0.0;-0.0;-0.0004023844376206398;0.00015087518841028214;-0.00041093863546848297;-2.2656284272670746e-05;-0.0004785154014825821;-0.0009757811203598976;424.8422546386719;424.7017517089844;849.5440063476562
717;08.06.2023 11:20:13.866377;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;243.24658203125;64.74250793457031;-308.84332275390625;0.0;0.0;0.0;0.0;398.36236572265625;398.3626708984375;398.36297607421875;230.3435821533203;230.00804138183594;229.9544677734375;229.9946746826172;229.99473571777344;229.99456787109375;0;1.4561007022857666;0;3.925112724304199;7.447901725769043;7.398395538330078;7.48805570602417;2.4733595848083496;487.0158386230469;2.8062360286712646;492.2954406738281;188.2901153564453;194.48545837402344;189.34225463867188;572.118896484375;188.0670166015625;525.5712280273438;189.11683654785156;902.7550659179688;50.0;50.0;50.0;0.977086067199707;0.6437526941299438;0.31041938066482544;-0.0;-0.0;-0.0007493924349546432;0.0001916559413075447;-0.00041152071207761765;-2.2656284272670746e-05;-0.0007226560264825821;-0.0009757811203598976;424.9505920410156;424.7017517089844;849.65234375
718;08.06.2023 11:20:13.965739;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;0.0;1.401298464324817e-45;312.8928527832031;-80.33422088623047;-233.38893127441406;0.0;0.0;0.0;0.0;398.36236572265625;398.3626708984375;398.36297607421875;230.3435821533203;230.00804138183594;229.9544677734375;229.9946746826172;229.99473571777344;229.99456787109375;0;1.4561007022857666;0;3.925112724304199;7.447901725769043;7.398395538330078;7.48805570602417;2.4733595848083496;487.0158386230469;2.8062360286712646;492.2954406738281;188.2877960205078;194.64170837402344;189.34225463867188;572.234130859375;188.0670166015625;525.5712280273438;189.11683654785156;902.7550659179688;50.0;50.0;50.0;0.8037481307983398;0.47041478753089905;0.13708144426345825;-0.0;-0.0;-0.0004640324041247368;0.0002973126247525215;-0.0001831110566854477;-2.2656284272670746e-05;-0.0004785154014825821;-0.0009757811203598976;425.7252197265625;424.5733337402344;850.2985229492188
